iter	Passed	Remaining
0	11	9010
1	23	9195
2	34	9175
3	45	8976
4	55	8878
5	67	8892
6	77	8783
7	92	9124
8	106	9326
9	120	9487
10	132	9517
11	145	9556
12	156	9497
13	170	9548
14	182	9543
15	191	9407
16	203	9378
17	214	9329
18	224	9233
19	235	9190
20	246	9148
21	257	9117
22	268	9082
23	280	9071
24	290	9006
25	301	8981
26	312	8949
27	323	8931
28	337	8960
29	349	8965
30	360	8941
31	371	8905
32	383	8923
33	395	8918
34	406	8891
35	418	8875
36	430	8879
37	442	8878
38	453	8842
39	464	8832
40	476	8825
41	488	8807
42	500	8803
43	511	8787
44	521	8747
45	532	8721
46	543	8708
47	555	8695
48	565	8664
49	577	8665
50	589	8663
51	599	8627
52	611	8615
53	621	8586
54	631	8557
55	643	8551
56	654	8536
57	664	8505
58	675	8482
59	685	8456
60	695	8426
61	706	8407
62	716	8381
63	726	8359
64	738	8346
65	749	8329
66	760	8323
67	772	8311
68	782	8287
69	793	8278
70	805	8267
71	815	8244
72	826	8227
73	836	8211
74	846	8185
75	858	8180
76	870	8169
77	880	8148
78	891	8137
79	903	8128
80	913	8106
81	942	8254
82	953	8233
83	963	8212
84	973	8188
85	984	8172
86	994	8151
87	1005	8137
88	1016	8118
89	1026	8096
90	1036	8077
91	1047	8058
92	1057	8040
93	1068	8024
94	1078	8002
95	1088	7982
96	1099	7969
97	1110	7951
98	1119	7929
99	1130	7915
100	1140	7893
101	1152	7888
102	1163	7873
103	1173	7853
104	1185	7844
105	1195	7829
106	1206	7812
107	1216	7797
108	1227	7784
109	1237	7763
110	1248	7749
111	1259	7735
112	1270	7722
113	1280	7706
114	1290	7689
115	1301	7672
116	1312	7659
117	1321	7640
118	1333	7629
119	1343	7614
120	1353	7596
121	1367	7599
122	1379	7593
123	1390	7579
124	1400	7560
125	1410	7545
126	1421	7534
127	1431	7515
128	1442	7501
129	1452	7484
130	1463	7475
131	1474	7460
132	1484	7445
133	1495	7432
134	1506	7421
135	1516	7403
136	1527	7390
137	1538	7379
138	1548	7362
139	1559	7349
140	1569	7335
141	1579	7318
142	1590	7308
143	1600	7291
144	1611	7277
145	1621	7263
146	1632	7252
147	1643	7240
148	1654	7230
149	1664	7213
150	1675	7202
151	1686	7188
152	1696	7174
153	1707	7161
154	1717	7148
155	1728	7133
156	1738	7119
157	1748	7104
158	1759	7091
159	1770	7081
160	1781	7069
161	1791	7055
162	1802	7042
163	1811	7026
164	1822	7015
165	1833	7001
166	1843	6987
167	1854	6976
168	1864	6963
169	1876	6952
170	1886	6939
171	1897	6928
172	1908	6916
173	1920	6909
174	1933	6904
175	1943	6890
176	1955	6881
177	1966	6870
178	1976	6857
179	1987	6844
180	1997	6831
181	2007	6816
182	2018	6804
183	2028	6790
184	2038	6775
185	2048	6763
186	2059	6750
187	2069	6736
188	2080	6724
189	2090	6711
190	2101	6699
191	2111	6687
192	2121	6672
193	2132	6661
194	2142	6646
195	2152	6634
196	2164	6626
197	2175	6614
198	2185	6601
199	2196	6589
200	2206	6574
201	2216	6563
202	2227	6551
203	2237	6536
204	2248	6526
205	2279	6573
206	2299	6588
207	2313	6583
208	2324	6572
209	2333	6557
210	2344	6545
211	2354	6530
212	2365	6518
213	2376	6506
214	2386	6492
215	2396	6479
216	2407	6467
217	2417	6453
218	2428	6442
219	2439	6430
220	2449	6418
221	2460	6404
222	2470	6391
223	2480	6377
224	2490	6364
225	2500	6350
226	2511	6338
227	2523	6330
228	2533	6317
229	2543	6304
230	2555	6294
231	2566	6282
232	2578	6274
233	2589	6262
234	2598	6248
235	2627	6278
236	2638	6266
237	2647	6252
238	2658	6240
239	2669	6228
240	2679	6215
241	2690	6204
242	2701	6192
243	2712	6180
244	2723	6170
245	2734	6158
246	2744	6144
247	2755	6133
248	2766	6121
249	2776	6107
250	2787	6096
251	2797	6083
252	2807	6069
253	2818	6057
254	2827	6043
255	2838	6032
256	2849	6019
257	2859	6006
258	2869	5994
259	2880	5983
260	2890	5970
261	2901	5958
262	2911	5944
263	2921	5931
264	2932	5920
265	2942	5907
266	2953	5895
267	2964	5884
268	2974	5872
269	2986	5861
270	2996	5850
271	3006	5836
272	3017	5824
273	3028	5813
274	3038	5800
275	3048	5788
276	3059	5775
277	3069	5763
278	3080	5752
279	3090	5739
280	3101	5727
281	3111	5716
282	3122	5703
283	3132	5691
284	3143	5681
285	3153	5668
286	3164	5657
287	3175	5644
288	3185	5631
289	3195	5619
290	3205	5607
291	3215	5594
292	3226	5583
293	3236	5570
294	3248	5560
295	3259	5550
296	3271	5541
297	3283	5531
298	3294	5519
299	3304	5507
300	3314	5494
301	3325	5483
302	3335	5470
303	3346	5459
304	3357	5448
305	3366	5435
306	3378	5425
307	3389	5413
308	3399	5401
309	3410	5390
310	3420	5378
311	3431	5367
312	3441	5355
313	3451	5342
314	3462	5330
315	3472	5318
316	3482	5306
317	3493	5294
318	3504	5283
319	3513	5270
320	3524	5259
321	3535	5248
322	3545	5235
323	3555	5224
324	3566	5212
325	3576	5200
326	3588	5190
327	3598	5178
328	3609	5166
329	3619	5155
330	3629	5142
331	3639	5131
332	3650	5119
333	3659	5106
334	3670	5095
335	3680	5082
336	3691	5071
337	3701	5059
338	3711	5047
339	3722	5036
340	3733	5026
341	3743	5013
342	3754	5002
343	3764	4989
344	3774	4978
345	3785	4967
346	3795	4955
347	3805	4942
348	3816	4932
349	3826	4919
350	3836	4907
351	3847	4896
352	3857	4884
353	3867	4872
354	3878	4861
355	3888	4849
356	3899	4838
357	3909	4826
358	3919	4815
359	3930	4804
360	3941	4792
361	3951	4781
362	3962	4770
363	3972	4757
364	3982	4746
365	3992	4734
366	4003	4723
367	4013	4711
368	4023	4700
369	4034	4688
370	4045	4677
371	4054	4665
372	4065	4653
373	4074	4641
374	4084	4629
375	4095	4618
376	4105	4606
377	4116	4595
378	4127	4584
379	4137	4572
380	4147	4561
381	4158	4549
382	4167	4537
383	4178	4527
384	4190	4517
385	4200	4505
386	4210	4493
387	4220	4481
388	4231	4470
389	4242	4459
390	4252	4447
391	4262	4436
392	4273	4425
393	4283	4414
394	4295	4404
395	4305	4392
396	4315	4381
397	4327	4370
398	4337	4359
399	4347	4347
400	4357	4335
401	4367	4323
402	4377	4312
403	4388	4301
404	4422	4312
405	4436	4305
406	4447	4294
407	4458	4283
408	4469	4272
409	4478	4260
410	4489	4249
411	4499	4237
412	4510	4226
413	4521	4215
414	4531	4204
415	4542	4193
416	4553	4182
417	4563	4170
418	4573	4159
419	4584	4148
420	4595	4136
421	4605	4125
422	4615	4113
423	4625	4101
424	4636	4090
425	4646	4079
426	4656	4067
427	4666	4056
428	4676	4044
429	4687	4033
430	4697	4021
431	4708	4010
432	4719	3999
433	4728	3988
434	4740	3977
435	4750	3966
436	4761	3955
437	4771	3943
438	4782	3933
439	4792	3921
440	4803	3910
441	4813	3898
442	4823	3887
443	4834	3875
444	4844	3864
445	4854	3853
446	4865	3842
447	4875	3830
448	4886	3819
449	4896	3808
450	4906	3796
451	4917	3785
452	4927	3774
453	4937	3762
454	4947	3751
455	4957	3740
456	4968	3729
457	4978	3717
458	4990	3707
459	5000	3696
460	5011	3685
461	5021	3673
462	5031	3662
463	5041	3650
464	5051	3639
465	5062	3628
466	5072	3616
467	5082	3605
468	5094	3595
469	5103	3583
470	5114	3572
471	5124	3561
472	5134	3549
473	5145	3538
474	5155	3527
475	5165	3516
476	5175	3504
477	5185	3493
478	5195	3481
479	5205	3470
480	5216	3459
481	5226	3448
482	5236	3437
483	5247	3426
484	5258	3415
485	5268	3403
486	5278	3392
487	5288	3381
488	5298	3369
489	5309	3359
490	5319	3347
491	5329	3336
492	5340	3325
493	5350	3314
494	5360	3303
495	5372	3292
496	5382	3281
497	5393	3270
498	5403	3259
499	5413	3248
500	5423	3237
501	5434	3225
502	5444	3214
503	5455	3203
504	5465	3192
505	5476	3181
506	5486	3170
507	5496	3159
508	5507	3148
509	5518	3138
510	5528	3126
511	5539	3116
512	5549	3104
513	5559	3093
514	5569	3082
515	5579	3071
516	5590	3059
517	5601	3049
518	5610	3037
519	5621	3026
520	5632	3016
521	5654	3011
522	5668	3002
523	5679	2991
524	5689	2980
525	5700	2969
526	5710	2958
527	5720	2946
528	5731	2936
529	5740	2924
530	5751	2913
531	5761	2902
532	5771	2891
533	5783	2880
534	5793	2869
535	5803	2858
536	5814	2847
537	5824	2836
538	5834	2825
539	5844	2814
540	5854	2802
541	5865	2792
542	5876	2781
543	5886	2769
544	5897	2759
545	5908	2748
546	5918	2737
547	5929	2726
548	5940	2715
549	5950	2704
550	5960	2693
551	5971	2682
552	5981	2671
553	5992	2661
554	6002	2649
555	6013	2639
556	6024	2628
557	6034	2617
558	6045	2606
559	6056	2595
560	6066	2584
561	6077	2573
562	6087	2562
563	6097	2551
564	6108	2540
565	6118	2529
566	6128	2518
567	6139	2507
568	6149	2496
569	6160	2485
570	6170	2474
571	6180	2463
572	6192	2453
573	6202	2442
574	6212	2430
575	6223	2420
576	6233	2409
577	6243	2398
578	6254	2387
579	6264	2376
580	6275	2365
581	6286	2354
582	6296	2343
583	6307	2333
584	6318	2322
585	6328	2311
586	6340	2300
587	6350	2289
588	6360	2278
589	6371	2267
590	6382	2256
591	6392	2245
592	6402	2234
593	6411	2223
594	6422	2212
595	6433	2202
596	6443	2191
597	6454	2180
598	6466	2169
599	6476	2158
600	6487	2148
601	6498	2137
602	6508	2126
603	6518	2115
604	6528	2104
605	6538	2093
606	6548	2082
607	6558	2071
608	6569	2060
609	6579	2049
610	6589	2038
611	6600	2027
612	6610	2016
613	6620	2005
614	6631	1994
615	6641	1983
616	6652	1973
617	6662	1962
618	6672	1951
619	6683	1940
620	6694	1929
621	6704	1918
622	6715	1907
623	6725	1896
624	6735	1885
625	6746	1875
626	6756	1864
627	6766	1853
628	6777	1842
629	6787	1831
630	6798	1820
631	6809	1809
632	6818	1798
633	6829	1788
634	6840	1777
635	6849	1766
636	6861	1755
637	6871	1744
638	6881	1733
639	6892	1723
640	6902	1712
641	6912	1701
642	6923	1690
643	6933	1679
644	6944	1668
645	6954	1657
646	6964	1647
647	6976	1636
648	6986	1625
649	6996	1614
650	7008	1604
651	7018	1593
652	7028	1582
653	7040	1571
654	7050	1560
655	7061	1550
656	7072	1539
657	7082	1528
658	7093	1517
659	7103	1506
660	7113	1495
661	7124	1485
662	7134	1474
663	7145	1463
664	7156	1452
665	7166	1441
666	7176	1430
667	7187	1420
668	7197	1409
669	7208	1398
670	7218	1387
671	7228	1376
672	7239	1366
673	7250	1355
674	7260	1344
675	7270	1333
676	7280	1322
677	7290	1311
678	7301	1301
679	7311	1290
680	7322	1279
681	7332	1268
682	7342	1257
683	7353	1247
684	7363	1236
685	7373	1225
686	7384	1214
687	7394	1203
688	7404	1192
689	7416	1182
690	7426	1171
691	7437	1160
692	7447	1149
693	7457	1139
694	7468	1128
695	7479	1117
696	7488	1106
697	7499	1095
698	7509	1085
699	7520	1074
700	7530	1063
701	7540	1052
702	7550	1041
703	7561	1031
704	7571	1020
705	7582	1009
706	7592	998
707	7602	987
708	7612	977
709	7623	966
710	7633	955
711	7644	944
712	7654	933
713	7665	923
714	7675	912
715	7685	901
716	7695	890
717	7705	880
718	7716	869
719	7727	858
720	7736	847
721	7748	837
722	7758	826
723	7768	815
724	7779	804
725	7789	793
726	7799	783
727	7810	772
728	7820	761
729	7831	750
730	7841	740
731	7851	729
732	7862	718
733	7873	707
734	7883	697
735	7894	686
736	7904	675
737	7914	664
738	7924	654
739	7935	643
740	7945	632
741	7956	621
742	7966	611
743	7977	600
744	7987	589
745	7997	578
746	8008	568
747	8019	557
748	8028	546
749	8039	535
750	8049	525
751	8060	514
752	8071	503
753	8081	493
754	8091	482
755	8102	471
756	8112	460
757	8122	450
758	8133	439
759	8143	428
760	8154	417
761	8164	407
762	8175	396
763	8186	385
764	8196	374
765	8207	364
766	8218	353
767	8228	342
768	8239	332
769	8250	321
770	8260	310
771	8271	300
772	8282	289
773	8292	278
774	8303	267
